SKU,ComponentName,Category,CurrentStock,ReorderPoint,ReorderQty,UnitCost_USD,Supplier,LeadTimeDays,LastUpdated,Notes
TZ-MCU-STM32F401,STM32F401CCU6 MCU,Electronics,85,30,100,3.20,LCSC,21,2024-03-15,Monitor for shortage; consider +50 safety stock buffer
TZ-SOCK-KAILH-MX,Kailh CPG151101S11 hotswap socket,Electronics,4200,1000,5000,0.08,LCSC,14,2024-03-15,68 per board; 4200 = ~61 boards worth
TZ-DIODE-1N4148W,1N4148W SOD-123 diode,Electronics,8500,2000,10000,0.01,LCSC,7,2024-03-15,68 per board; buy in strips of 1000
TZ-USBC-HRO,USB-C connector HRO Type-C-31-M-12,Electronics,120,40,200,0.55,LCSC,14,2024-03-15,Critical connector; keep buffer high
TZ-LED-SK6812,SK6812 MINI-E RGB LED,Electronics,5200,1000,5000,0.08,LCSC,14,2024-03-15,68 per board; check orientation (E-series = reverse mount)
TZ-CASE-AL-TOP-CH,Aluminum case top — Charcoal Night anodized,Case,45,10,50,28.00,CNC Vendor CN,45,2024-03-10,45-day lead time includes anodize; order before GB closes
TZ-CASE-AL-BOT-CH,Aluminum case bottom — Charcoal Night anodized,Case,45,10,50,18.00,CNC Vendor CN,45,2024-03-10,Matches TZ-CASE-AL-TOP-CH colorway
TZ-PLATE-FR4,FR4 switch plate 65% standard,Plate,120,25,100,3.50,JLCPCB,14,2024-03-15,Order with PCB batch for free shipping
TZ-PLATE-PC,Polycarbonate switch plate 65%,Plate,60,15,50,6.00,Laser cut vendor,21,2024-03-01,PC requires separate laser cutter vendor; 3-week lead
TZ-STAB-DUROCK-V2-SET,Durock V2 PCB stabilizer set (2U×3 + 6.25U×1),Stabilizers,90,20,100,4.80,Divinikey,10,2024-03-12,Lubed in-house before install; 30min per set
TZ-BOX-KB65,Custom rigid box KB65 — printed,Packaging,200,50,250,3.80,Packola,30,2024-02-20,30-day lead for custom print; order before production ends
TZ-FOAM-KB65,Custom EVA foam insert KB65,Packaging,200,50,250,2.20,Foam vendor,21,2024-02-20,Die-cut to KB65 case dimensions; must match box vendor
